ticker,xgb_3d_prob,ensemble_3d_prob,xgb_3d_signal,ens_1d_prob,both_agree,combined_signal
SHRIRAMFIN.NS,57.5,60.6,🟢 STRONG BULLISH,39.0,False,🔵 3d only bullish
HINDCOPPER.NS,59.6,60.4,🟢 STRONG BULLISH,46.2,False,🔵 3d only bullish
M&M.NS,60.4,60.4,🟢 STRONG BULLISH,41.9,False,🔵 3d only bullish
MAZDOCK.NS,59.4,60.4,🟢 STRONG BULLISH,56.7,True,🟢 STRONG — Both 1d & 3d agree
TMCV.NS,59.8,60.4,🟢 STRONG BULLISH,41.0,False,🔵 3d only bullish
HUDCO.NS,62.6,60.3,🟢 STRONG BULLISH,43.2,False,🔵 3d only bullish
BAJFINANCE.NS,61.0,60.3,🟢 STRONG BULLISH,45.0,False,🔵 3d only bullish
ETERNAL.NS,61.3,60.3,🟢 STRONG BULLISH,37.7,False,🔵 3d only bullish
NIFTYBEES.NS,61.4,60.3,🟢 STRONG BULLISH,38.4,False,🔵 3d only bullish
MUTHOOTFIN.NS,58.5,60.2,🟢 STRONG BULLISH,38.9,False,🔵 3d only bullish
IEX.NS,61.7,60.2,🟢 STRONG BULLISH,44.3,False,🔵 3d only bullish
JINDALSTEL.NS,60.6,60.2,🟢 STRONG BULLISH,38.9,False,🔵 3d only bullish
JIOFIN.NS,60.2,60.2,🟢 STRONG BULLISH,40.8,False,🔵 3d only bullish
SHREECEM.NS,60.1,60.0,🟢 STRONG BULLISH,41.8,False,🔵 3d only bullish
ACC.NS,61.2,60.0,🟢 STRONG BULLISH,40.4,False,🔵 3d only bullish
LICI.NS,61.1,60.0,🟢 STRONG BULLISH,45.5,False,🔵 3d only bullish
KAYNES.NS,57.2,60.0,🟢 STRONG BULLISH,35.0,False,🔵 3d only bullish
LT.NS,58.7,60.0,🟢 STRONG BULLISH,39.0,False,🔵 3d only bullish
SUNTV.NS,60.9,59.9,🟢 STRONG BULLISH,42.6,False,🔵 3d only bullish
UBL.NS,61.2,59.8,🟢 STRONG BULLISH,45.8,False,🔵 3d only bullish
VEDL.NS,64.5,59.8,🟢 STRONG BULLISH,47.8,False,🔵 3d only bullish
ADANIPOWER.NS,58.1,59.7,🟢 STRONG BULLISH,43.0,False,🔵 3d only bullish
SJVN.NS,62.6,59.5,🟢 STRONG BULLISH,48.3,False,🔵 3d only bullish
WESTLIFE.NS,59.3,59.5,🟢 STRONG BULLISH,38.4,False,🔵 3d only bullish
HINDZINC.NS,61.9,59.5,🟢 STRONG BULLISH,46.9,False,🔵 3d only bullish
ASIANPAINT.NS,60.7,59.5,🟢 STRONG BULLISH,43.2,False,🔵 3d only bullish
AFFLE.NS,60.6,59.4,🟢 STRONG BULLISH,46.2,False,🔵 3d only bullish
INDUSINDBK.NS,59.4,59.4,🟢 STRONG BULLISH,44.2,False,🔵 3d only bullish
DLF.NS,60.6,59.3,🟢 STRONG BULLISH,35.2,False,🔵 3d only bullish
MTARTECH.NS,62.4,59.2,🟢 STRONG BULLISH,50.5,False,🔵 3d only bullish
GRANULES.NS,59.0,59.2,🟢 STRONG BULLISH,38.4,False,🔵 3d only bullish
ABB.NS,59.7,59.2,🟢 STRONG BULLISH,45.3,False,🔵 3d only bullish
CUMMINSIND.NS,60.0,59.2,🟢 STRONG BULLISH,42.1,False,🔵 3d only bullish
GOLDBEES.NS,60.0,59.2,🟢 STRONG BULLISH,44.8,False,🔵 3d only bullish
SAPPHIRE.NS,59.0,59.1,🟢 STRONG BULLISH,38.6,False,🔵 3d only bullish
BHARATFORG.NS,59.2,59.1,🟢 STRONG BULLISH,36.9,False,🔵 3d only bullish
SOBHA.NS,57.8,59.0,🟢 STRONG BULLISH,37.7,False,🔵 3d only bullish
NAUKRI.NS,58.4,58.9,🟢 STRONG BULLISH,40.0,False,🔵 3d only bullish
GAIL.NS,55.9,58.9,🟢 STRONG BULLISH,44.0,False,🔵 3d only bullish
BHEL.NS,62.1,58.9,🟢 STRONG BULLISH,42.6,False,🔵 3d only bullish
SRF.NS,62.1,58.9,🟢 STRONG BULLISH,37.5,False,🔵 3d only bullish
GRSE.NS,60.1,58.8,🟢 STRONG BULLISH,52.7,False,🔵 3d only bullish
EICHERMOT.NS,57.8,58.7,🟢 STRONG BULLISH,43.7,False,🔵 3d only bullish
IRFC.NS,57.6,58.6,🟢 STRONG BULLISH,46.6,False,🔵 3d only bullish
TECHM.NS,53.4,58.6,🟢 STRONG BULLISH,37.5,False,🔵 3d only bullish
MARICO.NS,58.6,58.6,🟢 STRONG BULLISH,35.3,False,🔵 3d only bullish
MOTHERSON.NS,57.9,58.6,🟢 STRONG BULLISH,38.5,False,🔵 3d only bullish
TIINDIA.NS,58.9,58.5,🟢 STRONG BULLISH,44.4,False,🔵 3d only bullish
ALKEM.NS,63.8,58.4,🟢 STRONG BULLISH,42.0,False,🔵 3d only bullish
ANGELONE.NS,58.9,58.4,🟢 STRONG BULLISH,42.5,False,🔵 3d only bullish
ITC.NS,59.3,58.3,🟢 STRONG BULLISH,36.2,False,🔵 3d only bullish
UPL.NS,63.3,58.3,🟢 STRONG BULLISH,43.0,False,🔵 3d only bullish
MANKIND.NS,58.9,58.2,🟢 STRONG BULLISH,35.5,False,🔵 3d only bullish
AARTIIND.NS,55.6,58.2,🟢 STRONG BULLISH,42.4,False,🔵 3d only bullish
POLICYBZR.NS,57.5,58.1,🟢 STRONG BULLISH,41.3,False,🔵 3d only bullish
RELIANCE.NS,58.7,58.1,🟢 STRONG BULLISH,37.6,False,🔵 3d only bullish
ICICIBANK.NS,58.3,58.1,🟢 STRONG BULLISH,38.5,False,🔵 3d only bullish
SKFINDIA.NS,60.1,58.1,🟢 STRONG BULLISH,39.7,False,🔵 3d only bullish
ABCAPITAL.NS,62.1,58.1,🟢 STRONG BULLISH,43.4,False,🔵 3d only bullish
SHYAMMETL.NS,60.2,58.0,🟢 STRONG BULLISH,41.8,False,🔵 3d only bullish
MON100.NS,58.1,58.0,🟢 STRONG BULLISH,40.0,False,🔵 3d only bullish
KEC.NS,57.5,58.0,🟢 STRONG BULLISH,42.3,False,🔵 3d only bullish
NESTLEIND.NS,58.0,57.9,🟢 STRONG BULLISH,37.0,False,🔵 3d only bullish
DRREDDY.NS,53.3,57.9,🟢 STRONG BULLISH,42.8,False,🔵 3d only bullish
IRCTC.NS,59.0,57.8,🟢 STRONG BULLISH,44.0,False,🔵 3d only bullish
ZENSARTECH.NS,58.6,57.7,🟢 STRONG BULLISH,38.2,False,🔵 3d only bullish
FORTIS.NS,56.2,57.5,🟢 STRONG BULLISH,37.4,False,🔵 3d only bullish
TIMKEN.NS,59.4,57.5,🟢 STRONG BULLISH,39.7,False,🔵 3d only bullish
COLPAL.NS,61.9,57.5,🟢 STRONG BULLISH,50.0,False,🔵 3d only bullish
OIL.NS,56.6,57.5,🟢 STRONG BULLISH,41.0,False,🔵 3d only bullish
RADICO.NS,62.5,57.5,🟢 STRONG BULLISH,43.2,False,🔵 3d only bullish
LODHA.NS,55.1,57.4,🟢 STRONG BULLISH,46.7,False,🔵 3d only bullish
KPIL.NS,60.7,57.4,🟢 STRONG BULLISH,44.1,False,🔵 3d only bullish
MGL.NS,58.1,57.4,🟢 STRONG BULLISH,43.2,False,🔵 3d only bullish
NTPC.NS,57.8,57.3,🟢 STRONG BULLISH,41.5,False,🔵 3d only bullish
NH.NS,62.0,57.3,🟢 STRONG BULLISH,46.8,False,🔵 3d only bullish
BAJAJHLDNG.NS,58.5,57.2,🟢 STRONG BULLISH,39.4,False,🔵 3d only bullish
EMAMILTD.NS,54.7,57.0,🟢 STRONG BULLISH,34.9,False,🔵 3d only bullish
TORNTPOWER.NS,54.6,56.9,🟢 STRONG BULLISH,37.7,False,🔵 3d only bullish
DABUR.NS,58.4,56.9,🟢 STRONG BULLISH,40.0,False,🔵 3d only bullish
TRENT.NS,57.0,56.9,🟢 STRONG BULLISH,40.8,False,🔵 3d only bullish
LUPIN.NS,56.2,56.9,🟢 STRONG BULLISH,36.3,False,🔵 3d only bullish
ZYDUSLIFE.NS,55.3,56.9,🟢 STRONG BULLISH,37.6,False,🔵 3d only bullish
TATAPOWER.NS,57.5,56.8,🟢 STRONG BULLISH,44.4,False,🔵 3d only bullish
IGL.NS,58.4,56.8,🟢 STRONG BULLISH,38.1,False,🔵 3d only bullish
PAYTM.NS,64.3,56.8,🟢 STRONG BULLISH,41.3,False,🔵 3d only bullish
PHOENIXLTD.NS,56.1,56.7,🟢 STRONG BULLISH,35.8,False,🔵 3d only bullish
LEMONTREE.NS,55.6,56.7,🟢 STRONG BULLISH,42.1,False,🔵 3d only bullish
COALINDIA.NS,58.8,56.5,🟢 STRONG BULLISH,34.6,False,🔵 3d only bullish
HINDUNILVR.NS,55.6,56.5,🟢 STRONG BULLISH,36.0,False,🔵 3d only bullish
HDFCLIFE.NS,57.6,56.4,🟢 STRONG BULLISH,35.6,False,🔵 3d only bullish
TATACONSUM.NS,56.3,56.4,🟢 STRONG BULLISH,39.2,False,🔵 3d only bullish
HAL.NS,57.6,56.3,🟢 STRONG BULLISH,37.6,False,🔵 3d only bullish
TATASTEEL.NS,56.7,56.2,🟢 STRONG BULLISH,38.4,False,🔵 3d only bullish
TATACOMM.NS,63.7,56.2,🟢 STRONG BULLISH,45.2,False,🔵 3d only bullish
POWERGRID.NS,60.8,56.0,🟢 STRONG BULLISH,48.0,False,🔵 3d only bullish
BRITANNIA.NS,60.6,56.0,🟢 STRONG BULLISH,37.6,False,🔵 3d only bullish
YESBANK.NS,58.8,55.9,🟢 STRONG BULLISH,37.3,False,🔵 3d only bullish
UTIAMC.NS,56.5,55.9,🟢 STRONG BULLISH,36.3,False,🔵 3d only bullish
AJANTPHARM.NS,58.7,55.8,🟢 STRONG BULLISH,38.2,False,🔵 3d only bullish
SCHAEFFLER.NS,58.9,55.7,🟢 STRONG BULLISH,43.3,False,🔵 3d only bullish
LTM.NS,55.0,55.6,🟢 STRONG BULLISH,41.2,False,🔵 3d only bullish
LAURUSLABS.NS,54.9,55.5,🟢 STRONG BULLISH,34.9,False,🔵 3d only bullish
AUROPHARMA.NS,58.3,55.3,🟢 STRONG BULLISH,43.1,False,🔵 3d only bullish
ADANIGREEN.NS,59.8,55.3,🟢 STRONG BULLISH,43.0,False,🔵 3d only bullish
KIMS.NS,61.7,55.3,🟢 STRONG BULLISH,42.8,False,🔵 3d only bullish
HINDPETRO.NS,54.0,55.3,🟢 STRONG BULLISH,46.8,False,🔵 3d only bullish
ADANIPORTS.NS,56.8,55.2,🟢 STRONG BULLISH,46.0,False,🔵 3d only bullish
ABBOTINDIA.NS,58.4,55.0,🟢 STRONG BULLISH,43.9,False,⚪ NEUTRAL
BHARTIARTL.NS,63.6,54.9,🟢 STRONG BULLISH,44.1,False,⚪ NEUTRAL
VBL.NS,55.1,54.8,🟢 STRONG BULLISH,36.2,False,⚪ NEUTRAL
BANKBARODA.NS,54.1,54.7,🟢 STRONG BULLISH,44.9,False,⚪ NEUTRAL
DIXON.NS,47.1,54.5,🟢 STRONG BULLISH,32.9,False,⚪ NEUTRAL
ONGC.NS,54.1,54.4,🟢 STRONG BULLISH,38.5,False,⚪ NEUTRAL
MAXHEALTH.NS,55.3,54.3,🟢 STRONG BULLISH,37.6,False,⚪ NEUTRAL
BLUESTARCO.NS,53.4,54.2,🟢 STRONG BULLISH,34.1,False,⚪ NEUTRAL
RVNL.NS,52.1,53.8,🟢 STRONG BULLISH,46.8,False,⚪ NEUTRAL
SUNPHARMA.NS,52.6,53.8,🟢 STRONG BULLISH,34.9,False,⚪ NEUTRAL
HOMEFIRST.NS,49.2,52.6,🟢 STRONG BULLISH,41.8,False,⚪ NEUTRAL
IPCALAB.NS,54.2,52.1,🟢 STRONG BULLISH,36.4,False,⚪ NEUTRAL
PAGEIND.NS,50.2,51.7,🟢 STRONG BULLISH,45.2,False,⚪ NEUTRAL
TCS.NS,48.1,51.5,🟢 STRONG BULLISH,27.9,False,⚪ NEUTRAL
BEL.NS,52.3,50.8,🟢 STRONG BULLISH,36.1,False,⚪ NEUTRAL
APOLLOHOSP.NS,50.4,50.0,🟢 STRONG BULLISH,38.9,False,⚪ NEUTRAL
NHPC.NS,43.0,48.3,🟢 STRONG BULLISH,36.2,False,⚪ NEUTRAL
PNB.NS,48.7,47.2,🟢 STRONG BULLISH,39.9,False,⚪ NEUTRAL
IOC.NS,43.7,46.6,🟢 STRONG BULLISH,43.8,False,⚪ NEUTRAL
HDFCBANK.NS,45.4,46.3,🟢 STRONG BULLISH,38.3,False,⚪ NEUTRAL
ATGL.NS,50.5,45.3,🟢 STRONG BULLISH,45.7,False,⚪ NEUTRAL
HCLTECH.NS,35.4,44.1,🟢 STRONG BULLISH,30.3,False,⚪ NEUTRAL
INDIGO.NS,40.1,43.9,🟢 STRONG BULLISH,35.5,False,⚪ NEUTRAL
AXISBANK.NS,43.8,43.6,🟢 STRONG BULLISH,44.7,False,⚪ NEUTRAL
BPCL.NS,37.2,42.6,🟢 STRONG BULLISH,43.0,False,⚪ NEUTRAL
SBIN.NS,34.9,42.4,🟢 STRONG BULLISH,32.6,False,⚪ NEUTRAL
INFY.NS,26.9,31.8,🟢 STRONG BULLISH,26.5,False,⚪ NEUTRAL
WIPRO.NS,27.5,31.8,🟢 STRONG BULLISH,28.1,False,⚪ NEUTRAL
